X,Y,OBJECTID,BearID,ReportDate,SubType,RoadDate,Region,BMU,County,Locale,ZipCode,Latitude,Longitude,OrigCap,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
558634.9045,695158.616,44865,Bear-0000009194,2013/08/16 00:00:00+00,Carcass,2013/08/16 00:00:00+00,North Central,North,Baker,OTHER,0,30.2542,-82.34962, ,Male,Adult,300,3, , , , , , , ,0,50514,
558422.7819,727481.7401,44866,Bear-0000007874,2001/11/13 00:00:00+00,Carcass,2001/11/12 00:00:00+00,North Central,North,Baker,OTHER,0,30.54545,-82.34732,No,Female,Juvenile,140,1, , , , , , , ,0, ,
558636.944200002,727382.5112,44867,Bear-0000011964,1999/06/18 00:00:00+00,Carcass,1999/06/18 00:00:00+00,North Central,North,Baker, ,0,30.54453,-82.3451, ,Male,Adult,320,5,0,0, , , , , ,0, ,
559403.618900001,691966.5246,44868,Bear-0000012954,2008/02/12 00:00:00+00,Carcass,2008/02/12 00:00:00+00,North Central,North,Baker,OTHER,0,30.22535,-82.34207, ,Male,Juvenile,110,1,0,0, , , , ,n/a,0, ,
559662.694499999,692078.7937,44869,Bear-0000008831,2007/10/21 00:00:00+00,Carcass,2007/10/21 00:00:00+00,North Central,North,Baker,OTHER,32072,30.22633,-82.33936, ,Male,Juvenile,169,0, , ,W192, ,W192, ,192,0, ,
559432.970600002,727004.7919,44870,Bear-0000008709,2005/05/20 00:00:00+00,Carcass,2005/05/20 00:00:00+00,North Central,North,Baker,OTHER,0,30.54103,-82.33685, ,Unknown,Unknown,0,0, , , , , , , ,0, ,
560244.7599,695113.6715,44871,Bear-0000007693,2010/07/03 00:00:00+00,Carcass,2010/07/03 00:00:00+00,North Central,North,Baker,OTHER,0,30.2536,-82.33288, ,Male,Juvenile,131,1, , , , , , , ,0,35860,
561577.9373,616082.9452,44872,Bear-0000009083,2012/06/05 00:00:00+00,Carcass,2012/06/05 00:00:00+00,North Central,Central,Alachua, ,0,29.541592,-82.330145, ,Male,Juvenile,65,2, , , , , , , ,0,41707,
560295.5953,726612.3682,44873,Bear-0000017551,2016/06/29 00:00:00+00,Carcass,2016/06/29 00:00:00+00,North Central,North,Baker, ,32087,30.5373889,-82.327908, ,Male,Juvenile,50,1, , , , , , , ,0, ,
561347.517999999,694681.2967,44874,Bear-0000008733,2005/11/23 00:00:00+00,Carcass,2005/11/23 00:00:00+00,North Central,North,Baker,OTHER,0,30.24957,-82.32147, ,Male,Juvenile,35,2, , , , , , , ,0, ,
562104.667300001,694169.5865,44875,Bear-0000018005,2016/09/18 00:00:00+00,Carcass,2016/09/18 00:00:00+00,North Central,North,Baker, ,32087,30.244867,-82.313667, ,Male,Juvenile,100,1, , , , , , , ,0, ,
561767.204399999,725975.531,44876,Bear-0000011010,1990/07/10 00:00:00+00,Carcass,1990/07/10 00:00:00+00,North Central,North,Baker, ,0,30.53147,-82.31265, ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
563317.267299999,614335.1879,44877,Bear-0000009280,2014/12/13 00:00:00+00,Carcass,2014/12/13 00:00:00+00,North Central,Central,Alachua,OTHER,0,29.525639,-82.312419, ,Female,Juvenile,82,0, , , , , , , ,0,61396,
562870.182300001,675890.3895,44878,Bear-0000021638,2023/04/22 00:00:00+00,Carcass,2023/04/22 00:00:00+00,North Central,North,Union, ,32054,30.080106,-82.308313,Yes,Male,Adult,214,0, , , , , , , ,0, ,
563901.521600001,613520.3353,44879,Bear-0000020049,2020/06/20 00:00:00+00,Carcass,2020/06/20 00:00:00+00,North Central,Central,Alachua, ,32667,29.5182286,-82.3064982,Yes,Male,Juvenile,220,2, , , , , , , ,0, ,
562868.5392,693656.2385,44880,Bear-0000009023,2011/05/03 00:00:00+00,Carcass,2011/05/03 00:00:00+00,North Central,North,Baker,OTHER,0,30.240148,-82.305795, ,Male,Adult,200,3, , , , , , , ,0, ,
563239.182300001,693586.0773,44881,Bear-0000013068,2009/04/29 00:00:00+00,Carcass,2009/04/29 00:00:00+00,North Central,North,Baker, ,32087,30.23947,-82.30195, ,Male,Juvenile,98,1,0,0, , , , , ,0, ,
564363.4756,612885.6211,44882,Bear-0000021552,2023/05/13 00:00:00+00,Carcass,2023/05/13 00:00:00+00,North Central,Central,Alachua, ,32667,29.5124554,-82.301816,Yes,Male,Adult,240,0, , , , , , , ,0, ,
563358.049600001,693332.631,44883,Bear-0000009130,2012/11/25 00:00:00+00,Carcass,2012/11/25 00:00:00+00,North Central,North,Baker,OTHER,0,30.237172,-82.30075, ,Male,Adult,300,5, , , , , , , ,0,46090,
563451.002599999,693243.5562,44884,Bear-0000020280,2020/11/07 00:00:00+00,Carcass,2020/11/07 00:00:00+00,North Central,North,Baker, ,32040,30.236358,-82.299796,Yes,Female,Adult,100,0,Unknown,Unknown, , , , , ,0, ,
564571.154399998,612348.9954,44885,Bear-0000016668,2015/05/10 00:00:00+00,Carcass,2015/05/10 00:00:00+00,North Central,Central,Alachua, ,32667,29.507597,-82.299747, ,Male,Adult,492,7, , , , , , , ,0, ,
563490.7762,693238.8875,44886,Bear-0000009253,2014/08/02 00:00:00+00,Carcass,2014/08/02 00:00:00+00,North Central,North,Baker,OTHER,0,30.236311,-82.299383, ,Male,Adult,250,3, , , , , , , ,0,57613,
564712.434999999,612121.4197,44887,Bear-0000020055,2020/06/29 00:00:00+00,Carcass,2020/06/29 00:00:00+00,North Central,Central,Alachua, ,32667,29.50553,-82.29832,Yes,Male,Adult,250,3, , , , , , , ,0, ,
564801.4274,611916.1091,44888,Bear-0000009186,2013/06/14 00:00:00+00,Carcass,2013/06/14 00:00:00+00,North Central,Central,Alachua,OTHER,0,29.50367,-82.29743, ,Unknown,Adult,185,0, , , , , , , ,0, ,
563240.070900001,725273.2882,44889,Bear-0000016690,2015/06/12 00:00:00+00,Carcass,2015/06/13 00:00:00+00,North Central,North,Baker, ,32087,30.52496,-82.29739, ,Male,Juvenile,33,1, , , , , , , ,0, ,
563815.180199999,693885.9596,44890,Bear-0000019777,2019/10/09 00:00:00+00,Carcass,2019/10/09 00:00:00+00,North Central,North,Baker, ,32087,30.2421,-82.295916,Yes,Male,Adult,400,11, , , , , , , ,0, ,
563745.884399999,700979.0203,44891,Bear-0000009105,2012/11/02 00:00:00+00,Carcass,2012/11/02 00:00:00+00,North Central,North,Baker,OTHER,0,30.30601,-82.295617, ,Male,Cub,45,0.75, , , , , , , ,0,"45199, 45198",
563871.039000001,693851.211,44892,Bear-0000018834,2017/12/29 00:00:00+00,Carcass,2017/12/29 00:00:00+00,North Central,North,Baker, ,32087,30.24178,-82.29534, ,Male,Cub,80,0, , , , , , , ,0, ,
563573.777800001,725133.6244,44893,Bear-0000007778,2005/12/01 00:00:00+00,Carcass,2005/12/01 00:00:00+00,North Central,North,Baker,OTHER,0,30.52366,-82.29393, ,Male,Adult,380,0, , , , , , , ,0, ,
