X,Y,OBJECTID,IncidentID,ReportDate,CapDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
151261.851199999,721276.3715,19251,,1994/11/07 00:00:00+00,1995/07/26 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.475529,-86.593269,Research, , ,Snare,Yes, , ,Male,Juvenile,105,2.5,0,0,15, ,15, ,15,0, ,
156638.423300002,733774.7704,19252,,1994/11/07 00:00:00+00,1995/06/30 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.589141,-86.539914,Research, , ,Snare,No, , ,Male,Adult,0,5.5,0,0, , , , ,12,0, ,
144068.976500001,742618.0666,19253,,1994/11/07 00:00:00+00,1996/04/03 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.666425,-86.673059,Research, , ,Snare,No, , ,Male,Adult,225,7.5,0,0, , , , ,1,1, ,
152383.605799999,721769.6429,19254,,1994/11/07 00:00:00+00,1995/08/01 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.480185,-86.581685,Research, , ,Snare,Yes, , ,Female,Juvenile,120,2.5,0,0,16, ,16, ,16,0, ,
122544.175099999,732849.0522,19255,,1994/11/07 00:00:00+00,1995/08/10 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.57403,-86.895399,Research, , ,Snare,Yes, , ,Male,Cub,45,1.5,0,0,17, ,17, ,17,0, ,
120058.8026,728913.1283,19256,,1994/11/07 00:00:00+00,1995/08/12 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.538043,-86.920353,Research, , ,Snare,Yes, , ,Male,Juvenile,80,1.5,0,0,18, ,18, ,18,0, ,
117824.711800002,729538.5817,19257,,1994/11/07 00:00:00+00,1995/08/13 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.543199,-86.943806,Research, , ,Snare,Yes, , ,Male,Adult,220,8.5,0,0,21, ,21, ,21,0, ,
540053.631000001,720507.0204,19258,,1996/06/07 00:00:00+00,1996/06/14 00:00:00+00,North Central,North,Columbia, , ,0,30.484693,-82.539791,Research, , ,Snare,Yes, , ,Male,Juvenile,175,2,0,0, , ,207, ,207,0, ,
144068.976500001,742618.0666,19259,,1994/11/07 00:00:00+00,1996/04/27 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.666425,-86.673059,Research, , ,Snare,Yes, , ,Male,Juvenile,110,1.5,0,0, , , , ,23,0, ,
145685.829500001,743720.0555,19260,,1994/11/07 00:00:00+00,1996/05/24 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.676669,-86.656425,Research, , ,Snare,No, , ,Male,Juvenile,140,3.5,0,0,13, ,13, ,13,0, ,
540053.631000001,720507.0204,19261,,1996/06/07 00:00:00+00,1996/06/24 00:00:00+00,North Central,North,Columbia, , ,0,30.484693,-82.539791,Research, , ,Snare,No, , ,Male,Adult,325,6,0,0,213, , , ,03,213, ,
544008.940200001,722410.6918,19262,,1996/06/07 00:00:00+00,1996/06/24 00:00:00+00,North Central,North,Columbia, , ,0,30.501418,-82.498315,Research, , ,Snare,No, , ,Female,Adult,130,5,0,0, , ,211, ,02,211, ,
143760.518199999,725187.3177,19263,,1994/11/07 00:00:00+00,1998/05/18 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.50932,-86.672335,Research, , ,Snare,Yes, , ,Male,Adult,380,12.5,0,0,146, ,136, ,36,0, ,
154369.178300001,726889.3621,19264,,1994/11/07 00:00:00+00,1996/06/14 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.526683,-86.562098,Research, , ,Snare,No, , ,Male,Juvenile,165,3.5,0,0, , , , ,15,0, ,
540053.631000001,720507.0204,19265,,1996/06/07 00:00:00+00,1996/06/15 00:00:00+00,North Central,North,Columbia, , ,0,30.484693,-82.539791,Research, , ,Snare,Yes, , ,Male,Juvenile,195,3,0,0,204, , , ,204,0, ,
540040.141800001,718680.9738,19266,,1996/06/07 00:00:00+00,1996/06/16 00:00:00+00,North Central,North,Columbia, , ,0,30.468241,-82.540157,Research, , ,Snare,Yes, , ,Male,Adult,320,3,0,0,209, , , ,209,0, ,
539566.976599999,718933.3063,19267,,1996/06/07 00:00:00+00,1996/06/17 00:00:00+00,North Central,North,Columbia, , ,0,30.470565,-82.545058,Research, , ,Snare,Yes, , ,Female,Juvenile,115,3,0,0, , ,206, ,206,0, ,
547751.603300001,721593.6458,19268,,1996/06/07 00:00:00+00,1996/06/17 00:00:00+00,North Central,North,Columbia, , ,0,30.49364,-82.459398,Research, , ,Snare,Yes, , ,Female,Juvenile,100,2,0,0, , ,208, ,208,0, ,
542338.047800001,725150.2026,19269,,1996/06/07 00:00:00+00,1996/06/20 00:00:00+00,North Central,North,Columbia, , ,0,30.526285,-82.515393,Research, , ,Snare,Yes, , ,Male,Juvenile,140,3,0,0,210, , , ,210,0, ,
538489.642099999,715046.8491,19270,,1996/06/07 00:00:00+00,1996/07/24 00:00:00+00,North Central,North,Columbia, , ,0,30.435661,-82.556762,Research, , ,Snare,Yes, , ,Male,Juvenile,140,1,0,0,225, , , ,225,0, ,
156638.423300002,733774.7704,19271,,1994/11/07 00:00:00+00,1996/06/24 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.589141,-86.539914,Research, , ,Snare,No, , ,Female,Juvenile,105,3.5,2,0, , , , ,19,19, ,
540040.141800001,718680.9738,19272,,1996/06/07 00:00:00+00,1996/06/25 00:00:00+00,North Central,North,Columbia, , ,0,30.468241,-82.540157,Research, , ,Snare,No, , ,Male,Juvenile,175,2,0,0, , ,207, ,207,0, ,
547018.9245,719354.5346,19273,,1996/06/07 00:00:00+00,1996/06/26 00:00:00+00,North Central,North,Columbia, , ,0,30.473547,-82.467327,Research, , ,Snare,Yes, , ,Female,Adult,130,7,0,0, , ,215, ,215,0, ,
133794.486200001,739505.0711,19274,,1994/11/07 00:00:00+00,1996/06/27 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.63633,-86.779602,Research, , ,Snare,No, , ,Male,Juvenile,0,1.5,0,0, , , , ,23,23, ,
543785.448800001,719446.4119,19275,,1996/06/07 00:00:00+00,1996/06/29 00:00:00+00,North Central,North,Columbia, , ,0,30.474733,-82.501021,Research, , ,Snare,Yes, , ,Male,Cub,55,1,0,0,212, , , ,212,0, ,
531338.822999999,720588.9297,19276,,1996/06/07 00:00:00+00,1996/08/01 00:00:00+00,North Central,North,Columbia, , ,0,30.486332,-82.630635,Research, , ,Snare,No, , ,Male,Adult,330,6,0,0,231, , , ,05,231, ,
533804.053599998,718835.1936,19277,,1996/06/07 00:00:00+00,1996/08/10 00:00:00+00,North Central,North,Columbia, , ,0,30.470281,-82.605141,Research, , ,Snare,Yes, , ,Female,Adult,165,3,0,0, , ,232, ,232,0, ,
137266.525400002,718825.5814,19278,,1994/11/07 00:00:00+00,1995/06/05 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.450724,-86.738566,Research, , ,Snare,Yes, , ,Female,Cub,43,1.5,0,0,7, ,7, ,7,0, ,
137266.525400002,718825.5814,19279,,1994/11/07 00:00:00+00,1995/06/08 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.450724,-86.738566,Research, , ,Snare,Yes, , ,Female,Adult,130,7.5,0,0,8, ,8, ,8,0, ,
540040.141800001,718680.9738,19280,,1996/06/07 00:00:00+00,1996/06/08 00:00:00+00,North Central,North,Columbia, , ,0,30.468241,-82.540157,Research, , ,Snare,Yes, , ,Female,Juvenile,85,3,0,0, , ,202, ,202,0, ,
540053.631000001,720507.0204,19281,,1996/06/07 00:00:00+00,1996/06/11 00:00:00+00,North Central,North,Columbia, , ,0,30.484693,-82.539791,Research, , ,Snare,Yes, , ,Male,Juvenile,165,3,0,0,203, , , ,203,0, ,
539566.976599999,718933.3063,19282,,1996/06/07 00:00:00+00,1996/06/14 00:00:00+00,North Central,North,Columbia, , ,0,30.470565,-82.545058,Research, , ,Snare,Yes, , ,Female,Adult,150,4,0,0, , ,205, ,205,0, ,
