X,Y,OBJECTID,BearID,ReportDate,RelDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
653900.917300001,241569.9943,15429,Bear-0000021371,2021/10/08 00:00:00+00,2022/07/16 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45608,Research, , ,Culvert,No,Released On-Site without Workup, ,Male,Subadult,0,2, ,0,Pink, ,Pink, , , , ,
653897.923599999,241569.9325,15430,Bear-0000021372,2021/10/08 00:00:00+00,2022/07/16 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45611,Research, , ,Cambrian,No,Released On-Site without Workup, ,Male,Subadult,0,3, ,0,Yellow, ,White, , , , ,
675469.695799999,249612.6692,15431,Bear-0000021373,2021/10/08 00:00:00+00,2022/07/20 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.22328,-81.23824,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Adult,253,4, ,0,Tan, ,Green, ,M190, , ,
673727.219500002,244785.818,15432,Bear-0000021374,2021/10/08 00:00:00+00,2022/07/20 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.18015,-81.25678,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Female,Yearling,98,1,0,0,Green, ,Tan, ,F191, , ,
653900.917300001,241569.9943,15433,Bear-0000021375,2021/10/08 00:00:00+00,2022/07/21 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45608,Research, , ,Culvert,No,Released On-Site without Workup, ,Male,Subadult,0,3, ,0,Yellow, ,White, , , , ,
672571.325300001,247039.2081,15434,Bear-0000021353,2021/10/08 00:00:00+00,2022/07/06 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.20068,-81.26786,Research, , ,Cambrian,No,Released On-Site without Workup, ,Male,Adult,366,11, ,0,Purple, ,Orange, , , , ,
672571.325300001,247039.2081,15435,Bear-0000021354,2021/10/08 00:00:00+00,2022/07/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.20068,-81.26786,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Female,Adult,172,11,0,0,Orange, ,Green, ,F180, , ,
672210.6426,251205.303,15436,Bear-0000021355,2021/10/08 00:00:00+00,2022/07/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.23828,-81.27055,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Female,Adult,182,5,0,0,Orange, ,Yellow, ,F181, , ,
653897.923599999,241569.9325,15437,Bear-0000021356,2021/10/08 00:00:00+00,2022/07/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45611,Research, , ,Cambrian,No,Released On-Site without Workup, ,Male,Subadult,0,3, ,0,Yellow, ,White, , , , ,
653900.917300001,241569.9943,15438,Bear-0000021357,2021/10/08 00:00:00+00,2022/07/09 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45608,Research, , ,Culvert,No,Released On-Site without Workup, ,Female,Subadult,0,3, ,0,White, ,Green, , , , ,
666772.297400001,248827.0128,15439,Bear-0000021358,2021/10/08 00:00:00+00,2022/07/10 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.21793,-81.32558,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Yearling,174,1, ,0,Purple, ,White, ,M182, , ,
664493.695599999,245514.0988,15440,Bear-0000021393,2021/10/08 00:00:00+00,2022/04/04 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.18853,-81.34913,Research, , ,Free Ranging,Yes,Released On-Site with Workup, ,M,Cub,6,0, ,0, , , , , , , ,
669331.482500002,248608.5912,15441,Bear-0000021335,2021/10/08 00:00:00+00,2022/06/17 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.21546,-81.29998,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Adult,317,5, ,0,Red, ,Red, ,M166, , ,
670875.756000001,250709.5667,15442,Bear-0000021336,2021/10/08 00:00:00+00,2022/06/19 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.23408,-81.28404,Research, , ,Cambrian,No,Released On-Site without Workup, ,Male,Subadult,0,3, ,0,White, ,Orange, , , , ,
672836.676199999,246099.2742,15443,Bear-0000021337,2021/10/08 00:00:00+00,2022/06/19 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.19216,-81.26541,Research, , ,Cambrian,No,Released On-Site without Workup, ,Male,Adult,0,4, ,0,White, ,Black, , , , ,
664493.695599999,245514.0988,15444,Bear-0000021391,2021/10/08 00:00:00+00,2022/04/04 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.18853,-81.34913,Research, , ,Free Ranging,Yes,Released On-Site with Workup, ,M,Cub,6,0, ,0, , , , , , , ,
665837.359000001,220788.6319,15445,Bear-0000021320,2021/10/08 00:00:00+00,2022/05/17 00:00:00+00,South,South,Collier, ,Ochopee,34141,25.96552,-81.34101,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,M,Adult,192,0, ,0,Tan, ,Purple, ,M151, , ,
672911.264699999,237783.065,15446,Bear-0000021321,2021/10/08 00:00:00+00,2022/05/21 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.11723,-81.26651,Research, , ,Snare,Yes,Released On-Site with Workup, ,Male,Adult,216,4, ,0,Black, ,Orange, ,M152, , ,
649620.817400001,221861.3777,15447,Bear-0000021322,2021/10/08 00:00:00+00,2022/05/25 00:00:00+00,South,South,Collier, ,Ochopee,34141,25.97824,-81.50295,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Subadult,258,3, ,0,Red, ,Tan, ,M154, , ,
675637.621100001,249777.4019,15448,Bear-0000021381,2021/10/08 00:00:00+00,2022/07/26 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.22473,-81.23652,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Yearling,208,1, ,0,Red, ,Solar Tag, ,M195, , ,
647376.022999998,241109.6398,15449,Bear-0000021382,2021/10/08 00:00:00+00,2022/04/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15206,-81.52153,Research, , ,Free Ranging,Yes,Released On-Site with Workup, ,M,Cub,5,0, ,0, , , , , , , ,
647376.022999998,241109.6398,15450,Bear-0000021383,2021/10/08 00:00:00+00,2022/04/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15206,-81.52153,Research, , ,Free Ranging,Yes,Released On-Site with Workup, ,M,Cub,5,0, ,0, , , , , , , ,
647376.022999998,241109.6398,15451,Bear-0000021384,2021/10/08 00:00:00+00,2022/04/07 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15206,-81.52153,Research, , ,Free Ranging,Yes,Released On-Site with Workup, ,M,Cub,6,0, ,0, , , , , , , ,
653897.923599999,241569.9325,15452,Bear-0000021370,2021/10/08 00:00:00+00,2022/07/15 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.15501,-81.45611,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Adult,458,9, ,0,White, ,Tan, ,M189, , ,
634229.9945,228812.5424,15453,Bear-0000021399,2021/10/08 00:00:00+00,2022/01/20 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.04359,-81.65555,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Female,Subadult,175,2,0,0,Black, ,Black, ,F147, , ,
672898.2139,237786.1059,15454,Bear-0000021400,2021/10/08 00:00:00+00,2022/05/21 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.11726,-81.26664,Research, , ,Snare,Yes,Released On-Site with Workup, ,Male,Subadult,203,3, ,0,White, ,Purple, ,M153, , ,
671424.509399999,250979.2189,15455,Bear-0000021401,2021/10/08 00:00:00+00,2022/07/02 00:00:00+00,South,South,Collier, ,Ochopee,34141,26.2364,-81.27848,Research, , ,Cambrian,Yes,Released On-Site with Workup, ,Male,Adult,318,7, ,0,Yellow, ,Yellow, ,M177, , ,
